Info 0    [11:42:29.120] Starting TS Server
Info 1    [11:42:29.121] Version: 4.7.4
Info 2    [11:42:29.121] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /Users/samuelbanya/.nvm/versions/node/v16.14.2/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/6ad28ff7290abc696912c53cdb34f274/tscancellation*
Info 3    [11:42:29.121] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [11:42:29.121] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [11:42:29.136] Format host information updated
Info 6    [11:42:29.143] Search path: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/src
Info 7    [11:42:29.144] For info: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/src/About.js :: No config files found.
Info 8    [11:42:29.148] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [11:42:31.036] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1887.4954709988087ms
Info 10   [11:42:31.036] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [11:42:31.037] 	Files (219)

Info 12   [11:42:31.037] -----------------------------------------------
Info 13   [11:42:31.061] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [11:47:03.035] DirectoryWatcher:: Triggered with /users/samuelbanya/hub/development/code/phase-3/smoothmoves-frontend/node_modules/.cache/babel-loader/eeadc5c513ccf0e018cf4fdbd13edb7c.json :: WatchInfo: /users/samuelbanya/hub/development/code/phase-3/smoothmoves-frontend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 15   [11:47:03.036] Elapsed:: 0.27929299883544445ms DirectoryWatcher:: Triggered with /users/samuelbanya/hub/development/code/phase-3/smoothmoves-frontend/node_modules/.cache/babel-loader/eeadc5c513ccf0e018cf4fdbd13edb7c.json :: WatchInfo: /users/samuelbanya/hub/development/code/phase-3/smoothmoves-frontend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
